;taxno;taxno1;taxno2;Number;Genus;taxon;species;Subspecies;full.name;Lifecycle;PLOIDY;no_ploidy_lev;more_ploidies;ploidy_level;holoploid;monoploid;NewAPGFamily;Order;HigherGroup;reg_nat_main;reg_nat_island;reg_nat_total;GloNAF_incidence;reg_no_invasive;GloNAF_invasive;glonaf_3group;ploidy_level;ploidy_level_single
Asparagus_officinalis;angiosperms;1angiosperms;2angiosperms;719;Asparagus;officinalis;Asparagus_officinalis;;Asparagus officinalis ;P;D_P;2;2,4;2,4;4.66;2.33;Asparagaceae;Asparagales;M;113;17;130;1;3;1;2;2,4;2
Asparagus_virgatus;angiosperms;1angiosperms;2angiosperms;933;Asparagus;virgatus;Asparagus_virgatus;;Asparagus virgatus ;P;D_P;2;2,4;2,4;2.18;1.09;Asparagaceae;Asparagales;M;6;NA;6;1;NA;0;1;2,4;2
Atriplex_halimus;angiosperms;1angiosperms;2angiosperms;469;Atriplex;halimus;Atriplex_halimus;subsp. halimus;Atriplex halimus subsp. halimus;P;D_P;2;2,4;2,4;3.61;1.805;Amaranthaceae;Caryophyllales;E;NA;5;5;1;NA;0;1;2,4;2
Avena_abyssinica;angiosperms;1angiosperms;2angiosperms;2;Avena;abyssinica;Avena_abyssinica;;Avena abyssinica ;A;D_P;2;2,4;2,4;13.75;6.875;Poaceae;Poales;M;4;NA;4;1;NA;0;1;2,4;2
Avena_nuda;angiosperms;1angiosperms;2angiosperms;718;Avena;nuda;Avena_nuda;;Avena nuda ;A;D_P;2;2,6;2,6;17.44;8.72;Poaceae;Poales;M;2;1;3;1;NA;0;1;2,6;2
Beauverdia_hirtella;angiosperms;1angiosperms;2angiosperms;937;Beauverdia;hirtella;Beauverdia_hirtella;subsp. hirtella;Beauverdia hirtella subsp. hirtella;P;D_P;2;2,4;2,4;44.06;22.03;Amaryllidaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2,4;2
Berberis_thunbergii;angiosperms;1angiosperms;2angiosperms;721;Berberis;thunbergii;Berberis_thunbergii;;Berberis thunbergii ;P;D_P;2;2,4;2,4;4.58;2.29;Berberidaceae;Ranunculales;E;59;5;64;1;12;1;2;2,4;2
Brachypodium_pinnatum;angiosperms;1angiosperms;2angiosperms;629;Brachypodium;pinnatum;Brachypodium_pinnatum;;Brachypodium pinnatum ;P;D_P;2;2,4;2,4;1.2;0.6;Poaceae;Poales;M;7;4;11;1;NA;0;1;2,4;2
Briza_media;angiosperms;1angiosperms;2angiosperms;117;Briza;media;Briza_media;;Briza media ;P;D_P;2;2,4;2,4;12.75;6.375;Poaceae;Poales;M;19;4;23;1;NA;0;1;2,4;2
Bromus_erectus;angiosperms;1angiosperms;2angiosperms;594;Bromus;erectus;Bromus_erectus;;Bromus erectus ;P;D_P;2;2,8;2,8;14.75;7.375;Poaceae;Poales;M;39;3;42;1;1;1;2;2,8;2
Buxus_sempervirens;angiosperms;1angiosperms;2angiosperms;697;Buxus;sempervirens;Buxus_sempervirens;;Buxus sempervirens ;P;D_P;2;2,3;2,3;1.8;0.9;Buxaceae;Buxales;E;24;7;31;1;NA;0;1;2,3;2
Calligonum_comosum;angiosperms;1angiosperms;2angiosperms;865;Calligonum;comosum;Calligonum_comosum;;Calligonum comosum ;P;D_P;2;2,4;2,4;3.57;1.785;Polygonaceae;Caryophyllales;E;NA;NA;NA;0;NA;0;0;2,4;2
Callitriche_stagnalis;angiosperms;1angiosperms;2angiosperms;821;Callitriche;stagnalis;Callitriche_stagnalis;;Callitriche stagnalis ;A;D_P;2;2,3;2,3;3.77;1.885;Plantaginaceae;Lamiales;E;47;8;55;1;1;1;2;2,3;2
Campanula_rotundifolia;angiosperms;1angiosperms;2angiosperms;627;Campanula;rotundifolia;Campanula_rotundifolia;;Campanula rotundifolia ;P;D_P;2;2,4;2,4;3.43;1.715;Campanulaceae;Asterales;E;1;5;6;1;NA;0;1;2,4;2
Canna_indica;angiosperms;1angiosperms;2angiosperms;829;Canna;indica;Canna_indica;;Canna indica ;P;D_P;2;2,3;2,3;1.9;0.95;Cannaceae;Zingiberales;M;105;71;176;1;15;1;2;2,3;2
Cannomois_parviflora;angiosperms;1angiosperms;2angiosperms;913;Cannomois;parviflora;Cannomois_parviflora;;Cannomois parviflora ;P;D_P;2;2,4;2,4;3.43;1.715;Restionaceae;Poales;M;NA;NA;NA;0;NA;0;0;2,4;2
